epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1080.61,1.2304,2.67748,1.08747,0.10428,0.48979,0.1233,0.07452,1.3673,3.25212,1.11667,0.000328947,0.000328947,0.000328947
2,2290.77,1.02468,1.08202,0.95501,0.98179,0.18671,0.2034,0.15516,0.87671,0.89073,0.9281,0.000649168,0.000649168,0.000649168
3,3502.1,0.97952,0.84482,0.94339,0.88832,0.28684,0.34495,0.23274,0.82985,0.8668,0.90446,0.000956188,0.000956188,0.000956188
4,4791.19,0.91153,0.6969,0.91991,0.33922,0.40038,0.41124,0.30993,0.78909,0.66493,0.89029,0.0009406,0.0009406,0.0009406
5,6098.45,0.87353,0.60831,0.91646,0.29387,0.45294,0.41715,0.30925,0.78307,0.61883,0.90521,0.0009208,0.0009208,0.0009208
6,7351.36,0.86121,0.58571,0.91718,0.31469,0.69622,0.4276,0.31317,0.87087,0.60407,0.92978,0.000901,0.000901,0.000901
7,8560.31,0.8452,0.55428,0.90986,0.29823,0.65383,0.40976,0.29515,0.89337,0.58934,0.93439,0.0008812,0.0008812,0.0008812
8,9774.09,0.84038,0.53546,0.90752,0.3231,0.51182,0.41437,0.29394,0.96642,0.62184,0.94825,0.0008614,0.0008614,0.0008614
9,17179.1,0.86943,0.53869,0.91655,0.33433,0.45815,0.37231,0.27412,0.84595,0.57801,0.9146,0.0008416,0.0008416,0.0008416
10,18528.1,0.83446,0.52041,0.90837,0.32251,0.50586,0.39306,0.29798,0.76057,0.54056,0.90028,0.0008218,0.0008218,0.0008218
11,19454.4,0.81815,0.50117,0.9035,0.32707,0.55118,0.39192,0.28537,0.89554,0.56942,0.94147,0.000802,0.000802,0.000802
12,20630.3,0.83565,0.50605,0.91038,0.39446,0.49138,0.43787,0.33183,0.73273,0.50578,0.89981,0.0007822,0.0007822,0.0007822
13,851.966,0.81559,0.50205,0.90459,0.34666,0.54291,0.39935,0.31166,0.72727,0.53514,0.8952,0.0007624,0.0007624,0.0007624
14,1724.53,0.81548,0.49838,0.90469,0.28999,0.48984,0.40884,0.32038,0.72512,0.5035,0.89056,0.0007426,0.0007426,0.0007426
15,2694.41,0.80901,0.48254,0.90467,0.34207,0.46156,0.40437,0.30077,0.7796,0.57408,0.91024,0.0007228,0.0007228,0.0007228
16,3661.04,0.81318,0.47433,0.90059,0.33708,0.45539,0.40915,0.31857,0.71815,0.52615,0.89228,0.000703,0.000703,0.000703
17,4564.27,0.8072,0.46762,0.90258,0.34428,0.53036,0.41573,0.31852,0.72408,0.52243,0.89473,0.0006832,0.0006832,0.0006832
18,5802.8,0.78756,0.46966,0.90067,0.32121,0.49213,0.38896,0.29964,0.71932,0.54247,0.89727,0.0006634,0.0006634,0.0006634
19,7148.25,0.79088,0.45763,0.89852,0.34823,0.52116,0.41162,0.32633,0.73219,0.49233,0.89749,0.0006436,0.0006436,0.0006436
20,8300.49,0.79665,0.45574,0.89955,0.37907,0.51854,0.43063,0.32539,0.78422,0.48178,0.91013,0.0006238,0.0006238,0.0006238
21,11305.1,0.80241,0.46017,0.90283,0.36015,0.5126,0.43203,0.32619,0.77638,0.51143,0.90796,0.000604,0.000604,0.000604
22,12373.3,0.78447,0.44592,0.8987,0.35132,0.50721,0.41961,0.32084,0.79914,0.47358,0.91088,0.0005842,0.0005842,0.0005842
23,13228.4,0.76641,0.43332,0.89296,0.36917,0.46978,0.4147,0.30913,0.76984,0.49983,0.90814,0.0005644,0.0005644,0.0005644
24,14165,0.78951,0.44129,0.90058,0.36163,0.44489,0.38932,0.28878,0.82109,0.55609,0.93122,0.0005446,0.0005446,0.0005446
25,15059.5,0.77735,0.4379,0.89706,0.38371,0.49622,0.43119,0.31592,0.86591,0.50868,0.9372,0.0005248,0.0005248,0.0005248
26,16039.4,0.79681,0.43865,0.90138,0.37773,0.49861,0.40845,0.32061,0.69811,0.50216,0.89402,0.000505,0.000505,0.000505
27,16945.4,0.78352,0.43423,0.89898,0.35911,0.42045,0.38662,0.30308,0.70291,0.49828,0.89426,0.0004852,0.0004852,0.0004852
28,72555.5,0.78544,0.42673,0.89767,0.37931,0.52709,0.44023,0.33858,0.74572,0.50452,0.90631,0.0004654,0.0004654,0.0004654
29,73737.1,0.77528,0.42126,0.89431,0.43101,0.51933,0.43242,0.33233,0.73782,0.4855,0.90044,0.0004456,0.0004456,0.0004456
30,74869.7,0.77054,0.41757,0.89346,0.35146,0.44324,0.41248,0.31601,0.72964,0.48509,0.90071,0.0004258,0.0004258,0.0004258
31,76143.1,0.77039,0.42147,0.89266,0.35338,0.42094,0.4034,0.31764,0.69481,0.485,0.89389,0.000406,0.000406,0.000406
32,77479.4,0.77695,0.42289,0.90037,0.40447,0.53022,0.42723,0.3374,0.70702,0.46968,0.89498,0.0003862,0.0003862,0.0003862
33,78794.7,0.76495,0.41644,0.89236,0.41457,0.5898,0.43205,0.34287,0.6863,0.45342,0.88908,0.0003664,0.0003664,0.0003664
34,80132.5,0.78084,0.41689,0.89793,0.37981,0.47391,0.4188,0.32533,0.72097,0.47893,0.89954,0.0003466,0.0003466,0.0003466
35,81030.9,0.76019,0.40729,0.89415,0.33623,0.41186,0.40316,0.31687,0.68828,0.47597,0.88869,0.0003268,0.0003268,0.0003268
36,81897.5,0.76011,0.41075,0.8925,0.37553,0.4567,0.44822,0.34744,0.74691,0.46636,0.90929,0.000307,0.000307,0.000307
37,83254,0.75487,0.40742,0.89576,0.39429,0.46397,0.42443,0.32643,0.77647,0.46868,0.91382,0.0002872,0.0002872,0.0002872
38,84603.9,0.75849,0.4063,0.89397,0.38563,0.44924,0.40375,0.31049,0.74305,0.4755,0.90675,0.0002674,0.0002674,0.0002674
39,85756,0.74997,0.40336,0.89082,0.37262,0.42633,0.39827,0.31315,0.70417,0.46768,0.8949,0.0002476,0.0002476,0.0002476
40,86891.1,0.75583,0.40441,0.89244,0.54799,0.43451,0.4193,0.32059,0.78936,0.471,0.91968,0.0002278,0.0002278,0.0002278
41,87898.1,0.72758,0.39739,0.89338,0.54491,0.46299,0.44139,0.34747,0.71657,0.475,0.89936,0.000208,0.000208,0.000208
42,88895.2,0.71957,0.38061,0.88739,0.42195,0.45418,0.42487,0.33516,0.70004,0.45405,0.89461,0.0001882,0.0001882,0.0001882
43,90924.3,0.7228,0.37484,0.88829,0.43616,0.46777,0.4406,0.3474,0.72408,0.44773,0.89849,0.0001684,0.0001684,0.0001684
